Feature Name,example,Notes
MD_LanguageTractsLHProportionalToLanguageTractsBilateral,1.03741306,Continuous
MD_LanguageTractsRHProportionalToLanguageTractsBilateral,0.96258694,Continuous
MD_DorsalBilateralProportionalToTotalBilateral,1.010832255,Continuous
MD_DorsalLHProportionalToDorsalBilateral,1.020248801,Continuous
MD_DorsalRHProportionalToDorsalBilateral,0.979751199,Continuous
MD_VentrallBilateralProportionalToTotalBilateral,0.98125127,Continuous
MD_VentralLHProportionalToVentralBilateral,1.044969757,Continuous
MD_VentralRHProportionalToVentralBilateral,0.955030243,Continuous
MD_GreyMatterBilateralProportionalToTotalBilateral,0.991866464,Continuous
MD_GreyMatterLHProportionalToGreyMatterBilateral,1.028514563,Continuous
MD_GreyMatterRHProportionalToGreyMatterBilateral,0.971485437,Continuous
MD_WhiteMatterBilateralProportionalToTotalBilateral,0.921298874,Continuous
MD_WhiteMatterLHProportionalToWMBilateral,1.010668219,Continuous
MD_WhiteMatterRHProportionalToWMBilateral,0.989331781,Continuous
MD_CSFBilateralProportionalToTotalBilateral,1.567851414,Continuous
MD_CSFLHProportionalToCSFBilateral,1.134096809,Continuous
MD_CSFRHProportionalToCSFBilateral,0.878369789,Continuous
FC_IntrahemisphericLH,NaN,Continuous
FC_IntrahemisphericRH,NaN,Continuous
FC_Total(Bilateral),NaN,Continuous
FC_Interhemispheric,NaN,Continuous
FC_VentralBilateral,NaN,Continuous
FC_VentralIntrahemisphericLH,NaN,Continuous
FC_VentralIntrahemisphericRH,NaN,Continuous
FC_VentralInterhemispheric,NaN,Continuous
FC_DorsalBilateral,NaN,Continuous
FC_DorsalIntrahemisphericLH,NaN,Continuous
FC_DorsalIntrahemisphericRH,NaN,Continuous
FC_DorsalToVentralBilateral,NaN,Continuous
FC_DorsalToVentralIntrahemisphericLH,NaN,Continuous
FC_DorsalToVentralIntrahemisphericRH,NaN,Continuous
FC_IntrahemisphericLHProportionalToTotal,NaN,Continuous
FC_IntrahemisphericRHProportionalToTotal,NaN,Continuous
FC_VentralIntrahemisphericLHProportionalToVentralBilateral,NaN,Continuous
FC_VentralIntrahemisphericRHProportionalToVentralBilateral,NaN,Continuous
FC_DorsalIntrahemisphericLHProportionalToDorsalBilateral,NaN,Continuous
FC_DorsalIntrahemisphericRHProportionalToDorsalBilateral,NaN,Continuous
FC_DorsalToVentralIntrahemisphericLHProportionalToDorsalToVentralBilateral,NaN,Continuous
FC_DorsalToVentralIntrahemisphericRHProportionalToDorsalToVentralBilateral,NaN,Continuous
SC_IntrahemisphericLH,8.047206694,Continuous
SC_IntrahemisphericRH,8.635541712,Continuous
SC_Total(Bilateral),6.613009492,Continuous
SC_Interhemispheric,5.495223247,Continuous
SC_VentralBilateral,7.18961158,Continuous
SC_VentralIntrahemisphericLH,13.33042092,Continuous
SC_VentralIntrahemisphericRH,17.05840076,Continuous
SC_VentralInterhemispheric,0.914127793,Continuous
SC_DorsalBilateral,22.03085967,Continuous
SC_DorsalIntrahemisphericLH,20.4700999,Continuous
SC_DorsalIntrahemisphericRH,21.76553808,Continuous
SC_DorsalToVentralBilateral,4.377041264,Continuous
SC_DorsalToVentralIntrahemisphericLH,7.504481348,Continuous
SC_DorsalToVentralIntrahemisphericRH,8.148229426,Continuous
SC_IntrahemisphericLHProportionalToTotal,1.216875116,Continuous
SC_IntrahemisphericRHProportionalToTotal,1.305841421,Continuous
SC_VentralIntrahemisphericLHProportionalToVentralBilateral,1.854122545,Continuous
SC_VentralIntrahemisphericRHProportionalToVentralBilateral,2.372645666,Continuous
SC_DorsalIntrahemisphericLHProportionalToDorsalBilateral,0.929155748,Continuous
SC_DorsalIntrahemisphericRHProportionalToDorsalBilateral,0.987956821,Continuous
SC_DorsalToVentralIntrahemisphericLHProportionalToDorsalToVentralBilateral,1.714510075,Continuous
SC_DorsalToVentralIntrahemisphericRHProportionalToDorsalToVentralBilateral,1.861583872,Continuous
WAB_AphasiaQuotient,89.9,Continuous
NIHStrokeSeverity,0,Continuous
FluentVsNonFluent,2,"2 is Fluent,1 is Nonfluent"
Sex,1,"Male is 2, female is 1"
MonthsPostOnset,61,Continuous
ChronologicalAgeDuringStroke,33,Continuous
ChronologicalAge,38,Continuous
Depression,2,"1 is no, 2 is yes"
AntidepressantUsage,1,"1 is no, 2 is yes"
Diabetes,1,"1 is no, 2 is yes"
Education,18,Continuous
ExerciseBeforeStroke,3,Continuous
ExerciseAfterStroke,4,Continuous
ReceivedTreatmentOrder,2,"1 is phonological first, 2 is semantic first"
ASRS_AphasiaSeverity,1,Continuous
ASRS_ApraxiaOfSpeechSeverity,0,Continuous
ASRS_DysarthriaSeverity,0,Continuous
ASRS_ApraxiaOfSpeech,1,Continuous
ASRS_Dysarthria,1,Continuous
WAIS,22,Continuous
PyramidsAndPalmTrees,46,Continuous
KissingAndDancingTest,48,Continuous
PhiladelphiaRepetitionTask_Correct,172,Continuous
Naming40_CorrectResponses,37,Continuous
Naming40_SelfCorrectResponses,0,Continuous
Naming40_SemanticErrors,3,Continuous
Naming40_PhonemicErrors,0,Continuous
NAVS_VerbNaming_Test,18,Continuous
NAVS_VerbComprehensionTest,22,Continuous
NAVS_ASPT_ArgumentStructure,28,Continuous
NAVS_ArgumentStructureProductionTest,32,Continuous
NAVS_SentenceProductionPrimingTask,30,Continuous
NAVS_SentenceComprehensionTest,30,Continuous
TALSA_RhymeJudgement_W5SF,15,Continuous
TALSA_RhymeJudgement_W5SU,20,Continuous
TALSA_RhymeJudgement_NW5SF,13,Continuous
TALSA_RhymeJudgement_NW5SU,20,Continuous
TALSA_Triplet_A1_Total,15,Continuous
TALSA_Triplet_A2Total,11,Continuous
PALPA_1,64,Continuous
PALPA_2,69,Continuous
PALPA_8,22,Continuous
PALPA_14,12,Continuous
PALPA_15,55,Continuous
PALPA_16_words,27,Continuous
PALPA_16_nonwords,12,Continuous
PALPA_17_words,26,Continuous
PALPA_17_nonwords,13,Continuous
MeanLengthOfUtterance_Cinderella_Baseline,10.7,Continuous
TypeTokenRatio_Cinderella_Baseline,0.528,Continuous
WordsPerMinute_Cinderella_Baseline,67.5,Continuous
VerbsPerUtterance_Cinderella_Baseline,1.9,Continuous
PercentWordErrors_Cinderella_Baseline,0.901,Continuous
PropositionalDensity_Cinderella_Baseline,0.491,Continuous
NounVerbRatio_Cinderella_Baseline,1.1,Continuous
OpenClosedClassRatio_Cinderella_Baseline,0.929,Continuous
PhonologicalErrorsPerWord_Cinderella_Baseline,0,Continuous
SemanticErrorsPerWord_Cinderella_Baseline,0.009174312,Continuous
UnrelatedErrorsPerWord_Cinderella_Baseline,0,Continuous
TotalLesionVolume,3060,Continuous
ProportionalBrainAgeDifference,-0.148823684,Continuous
WAB_SpontaneousSpeech,18,Continuous
WAB_AuditoryComprehension,9.35,Continuous
WAB_Repetition,8.9,Continuous
WAB_Naming,8.7,Continuous
fMRI_ParietalLesionDilated3mmTo6mm,NaN,Continuous
fMRI_ParietalLesionDilated6mmTo9mm,NaN,Continuous
fMRI_ParietalLesionDilated9mmTo12mm,NaN,Continuous
fMRI_ParietalLesionDilated12mmTo15mm,NaN,Continuous
fMRI_TemporalLesionDilated3mmTo6mm,NaN,Continuous
fMRI_TemporalLesionDilated6mmTo9mm,NaN,Continuous
fMRI_TemporalLesionDilated9mmTo12mm,0.570445455,Continuous
fMRI_TemporalLesionDilated12mmTo15mm,0.931928744,Continuous
fMRI_FrontalLesionDilated3mmTo6mm,0.241973912,Continuous
fMRI_FrontalLesionDilated6mmTo9mm,0.285022044,Continuous
fMRI_FrontalLesionDilated9mmTo12mm,0.500523067,Continuous
fMRI_FrontalLesionDilated12mmTo15mm,0.678621012,Continuous
WAB_MildSeverity,1,"1 if this is the severity category, 0 if not"
WAB_ModerateMildSeverity,0,"1 if this is the severity category, 0 if not"
WAB_ModerateSevereSeverity,0,"1 if this is the severity category, 0 if not"
WAB_SevereSeverity,0,"1 if this is the severity category, 0 if not"
AphasiaType_Anomia,1,"1 if this is the aphasia type category, 0 if not"
AphasiaType_Broca's,0,"1 if this is the aphasia type category, 0 if not"
AphasiaType_Conduction,0,"1 if this is the aphasia type category, 0 if not"
AphasiaType_Global,0,"1 if this is the aphasia type category, 0 if not"
AphasiaType_TransCortialMotor,0,"1 if this is the aphasia type category, 0 if not"
AphasiaType_Wernicke's,0,"1 if this is the aphasia type category, 0 if not"
StrokeType_Hemorrhagic,0,"1 if this is the stroke type category, 0 if not"
StrokeType_Ischemic,1,"1 if this is the stroke type category, 0 if not"
StrokeType_Unconventional,0,"1 if this is the stroke type category, 0 if not (this category is 'other')"
Race_AfricanAmerican,0,"1 if this is the race category, 0 if not"
Race_Asian,0,"1 if this is the race category, 0 if not"
Race_White,1,"1 if this is the race category, 0 if not"
Handedness_Ambidextrous,0,"1 if this is the handedness category, 0 if not"
Handedness_Left,0,"1 if this is the handedness category, 0 if not"
Handedness_Right,1,"1 if this is the handedness category, 0 if not"
